,LogRegress_accuracy,SVC_accuracy,GBM_accuracy
bin_vect_tokens,0.922509225092251,0.9261992619926199,0.9169741697416974
bin_vect_tokens_misspell,0.9206642066420664,0.9280442804428044,0.9169741697416974
bin_vect_stemming,0.9317343173431735,0.9261992619926199,0.9169741697416974
bin_vect_stemming_misspell,0.9317343173431735,0.9243542435424354,0.9169741697416974
bin_vect_lemmatization,0.9261992619926199,0.9280442804428044,0.915129151291513
bin_vect_lemmatization_misspell,0.9243542435424354,0.9298892988929889,0.915129151291513
count_vect_tokens,0.9188191881918819,0.922509225092251,0.9132841328413284
count_vect_tokens_misspell,0.9169741697416974,0.9243542435424354,0.9188191881918819
count_vect_stemming,0.9261992619926199,0.9280442804428044,0.9132841328413284
count_vect_stemming_misspell,0.9169741697416974,0.9261992619926199,0.9169741697416974
count_vect_lemmatization,0.9206642066420664,0.9280442804428044,0.9169741697416974
count_vect_lemmatization_misspell,0.9243542435424354,0.9280442804428044,0.9169741697416974
tfidf_vect_tokens,0.915129151291513,0.915129151291513,0.9169741697416974
tfidf_vect_tokens_misspell,0.9188191881918819,0.922509225092251,0.9169741697416974
tfidf_vect_stemming,0.915129151291513,0.922509225092251,0.915129151291513
tfidf_vect_stemming_misspell,0.9132841328413284,0.9280442804428044,0.915129151291513
tfidf_vect_lemmatization,0.9132841328413284,0.9243542435424354,0.915129151291513
tfidf_vect_lemmatization_misspell,0.915129151291513,0.9206642066420664,0.9243542435424354
w2v_tokens,0.8265682656826568,0.7896678966789668,0.7730627306273062
w2v_tokens_misspell,0.8118081180811808,0.7822878228782287,0.7730627306273062
w2v_stemming,0.8210332103321033,0.7896678966789668,0.8044280442804428
w2v_stemming_misspell,0.8136531365313653,0.7988929889298892,0.7749077490774908
w2v_lemmatization,0.8173431734317343,0.7656826568265682,0.7601476014760148
w2v_lemmatization_misspell,0.8450184501845018,0.7841328413284133,0.7712177121771218
glove_tokens,0.8487084870848709,0.8413284132841329,0.8302583025830258
glove_tokens_misspell,0.8247232472324724,0.8413284132841329,0.8228782287822878
glove_stemming,0.7785977859778598,0.7952029520295203,0.7988929889298892
glove_stemming_misspell,0.7693726937269373,0.7767527675276753,0.7804428044280443
glove_lemmatization,0.8413284132841329,0.8431734317343174,0.8357933579335793
glove_lemmatization_misspell,0.8321033210332104,0.8431734317343174,0.8154981549815498
